date,Mkt-RF,SMB,HML,RF,Mom,ST_Rev,LT_Rev
197901,4.23,3.79,2.2,0.77,-1.36,5.62,-0.65
197902,-3.56,0.54,1.14,0.73,-1.06,1.31,0.92
197903,5.68,3.2,-0.73,0.81,2.93,1.47,-0.36
197904,-0.06,2.4,1.08,0.8,0.81,-0.4,-0.43
197905,-2.21,0.17,1.32,0.82,-0.54,1.17,0.71
197906,3.85,0.99,1.39,0.81,0.84,1.19,-2.71
197907,0.82,1.27,1.86,0.77,-1.07,0.62,-2
197908,5.53,1.92,-1.58,0.77,-0.21,0.79,-1.67
197909,-0.82,-0.33,-0.9,0.83,5.28,-1.63,0.13
197910,-8.1,-3.51,-1.86,0.87,2.01,-1.94,1.53
197911,5.21,2.53,-3.28,0.99,8.14,1.31,-2.27
197912,1.79,4.32,-2.1,0.95,4.78,-1.89,-0.36
198001,5.51,1.82,1.75,0.8,7.55,-3.41,-0.69
198002,-1.22,-1.58,0.61,0.89,7.88,-4.91,-0.01
198003,-12.9,-6.92,-1.01,1.21,-9.55,8.46,2.51
198004,3.97,1.05,1.08,1.26,-0.43,1.4,-0.05
198005,5.26,2.1,0.38,0.81,-1.12,2.84,0.83
198006,3.06,1.42,-0.76,0.61,1.62,2.24,-2.8
198007,6.49,3.82,-6.41,0.53,0.35,2.95,-1.62
198008,1.8,4.26,-2.61,0.64,3.21,-0.84,-1.55
198009,2.19,0.66,-4.58,0.75,5.39,-1.52,-1.72
198010,1.06,2.36,-2.79,0.95,7.3,-1.96,-2.73
198011,9.59,-3.31,-8.33,0.96,15.22,-9.71,-7.88
198012,-4.52,-0.29,2.79,1.31,-6.68,6.38,3.45
198101,-5.04,3.29,6.72,1.04,-7.95,-2.29,7.56
198102,0.57,-0.51,1.02,1.07,-1.35,-2.33,2.57
198103,3.56,3.03,0.64,1.21,0.74,1.59,1.54
198104,-2.11,4.59,2.28,1.08,-0.91,-1.49,2.74
198105,0.11,2.45,-0.42,1.15,3.7,-3.78,1.59
198106,-2.36,-0.95,5.13,1.35,-5.81,4.78,0.99
198107,-1.54,-2.05,-0.49,1.24,-2.45,-0.56,-3.49
198108,-7.04,-1.81,4.79,1.28,-1.15,-0.65,1.3
198109,-7.17,-2.44,5.17,1.24,1.95,-1.11,5.13
198110,4.92,2.36,-4.21,1.21,4.01,4.55,-4.93
198111,3.36,-1.51,1.85,1.07,-0.27,2.67,0.64
198112,-3.65,1.2,0.82,0.87,1.3,1.66,1.4
198201,-3.24,-1.13,3.19,0.8,1.72,-1.37,6.34
198202,-5.86,0.35,6.05,0.92,4.88,-4.31,5.95
198203,-1.87,-0.04,3.83,0.98,2.96,-1.89,3.92
198204,3.27,1.09,-2.7,1.13,-0.4,1.65,-1.68
198205,-3.99,0.64,1.76,1.06,2.5,1.99,1.48
198206,-3.09,-0.52,1.55,0.96,4.96,0.15,1.95
198207,-3.19,0.95,0.09,1.05,4.44,-2.83,2.23
198208,11.14,-4.33,0.93,0.76,-3.52,1.14,-0.91
198209,1.29,2.62,0.27,0.51,4.19,4.52,-0.53
198210,11.3,1.94,-3.67,0.59,0.18,2.97,-0.69
198211,4.67,4.42,-1.85,0.63,5.94,-4.48,1.03
198212,0.55,-0.07,0.01,0.67,0.04,3.8,0.97
198301,3.6,3.33,-0.71,0.69,-1.74,3.18,0.12
198302,2.59,2.93,0.7,0.62,3.78,2.63,-0.37
198303,2.82,1.38,2.01,0.63,0.93,0.34,0.96
198304,6.67,0.47,0.51,0.71,1.72,-0.55,3.1
198305,0.52,6.33,-1.42,0.69,-1.56,2.73,-2.02
198306,3.07,1.19,-3.91,0.67,1.8,0.18,-0.84
198307,-4.07,1.01,5.62,0.74,-3.11,2.07,1.29
198308,-0.5,-4.32,5.54,0.76,-5.43,-0.65,0.15
198309,0.91,0.31,1.01,0.76,-0.03,2.36,0.77
198310,-3.44,-3.78,4.97,0.76,-4.52,-1.63,1.17
198311,2.16,1.89,-0.73,0.7,-0.13,4.94,-1.25
198312,-1.78,-0.45,1.7,0.73,0.84,1.97,1.3
198401,-1.92,-0.03,7.57,0.76,-2.56,0.64,4.24
198402,-4.82,-1.6,3.34,0.71,0.22,-2.06,0.22
198403,0.63,-0.29,0.47,0.73,1.07,2.51,0.8
198404,-0.51,-0.96,1.19,0.81,2.07,1.61,-1.65
198405,-5.97,0.14,0.29,0.78,1.51,0.81,-0.29
198406,1.82,0.1,-2.66,0.75,-0.7,0.96,-3.58
198407,-2.74,-2.22,0.33,0.82,2.83,-1.47,-1.57
198408,10.28,-0.26,-1.8,0.83,-5.59,7.29,-1.8
198409,-0.8,-0.03,5.23,0.86,3.62,4.28,1.74
198410,-0.84,-1.44,0.47,1,3.15,-1.21,-1.7
198411,-1.76,-1.01,4.04,0.73,1.64,-0.67,1.07
198412,1.84,-0.65,-0.25,0.64,1.49,0.8,-3.1
198501,7.99,3.5,-5.33,0.65,-6.82,2.32,-1.83
198502,1.22,1.04,-0.1,0.58,1.88,2.5,-0.08
198503,-0.84,-1.39,4.07,0.62,1.58,-1.37,-0.92
198504,-0.96,-0.1,3.72,0.72,3.04,-2.46,0.16
198505,5.09,-2.31,-0.94,0.66,3.99,-0.54,-3.97
198506,1.27,0.38,0.47,0.55,3.57,-0.67,-2.41
198507,-0.74,2.87,-1.6,0.62,-3.91,3.62,1.6
198508,-1.02,-0.29,2.28,0.55,1.85,1.77,0.01
198509,-4.54,-1.8,1.29,0.6,1.51,-1.85,-0.8
198510,4.02,-1.49,0.75,0.65,4.88,0.66,-2.49
198511,6.48,0.02,-2.84,0.61,-0.47,2.41,-2.22
198512,3.88,-0.4,-1.54,0.65,-0.23,-0.34,-3.08
198601,0.65,1,0.44,0.56,3,0.84,-2.75
198602,7.13,-0.71,-0.77,0.53,2.76,-1.69,-3.63
198603,4.88,-0.65,-0.37,0.6,2.41,-0.07,-2.66
198604,-1.31,2.86,-2.86,0.52,-0.36,2.82,-1.24
198605,4.62,-1.29,-0.21,0.49,2.05,1.05,-1.49
198606,1.03,-0.88,1.3,0.52,5.07,-2.48,-6.4
198607,-6.45,-3.45,4.7,0.52,1.85,-2.88,-3.83
198608,6.07,-4.35,3.51,0.46,-5.28,1.14,4.75
198609,-8.6,2.05,3.22,0.45,-5.79,-0.31,3.9
198610,4.66,-2.33,-1.42,0.46,4.46,3.58,0.71
198611,1.17,-1.89,-0.07,0.39,-0.26,0.71,0.24
198612,-3.27,0.12,0.36,0.49,0.35,0.61,0.58
198701,12.47,-1.54,-3.16,0.42,2.2,0.31,3.19
198702,4.39,3.4,-5.91,0.43,-2.07,-1.11,-0.12
198703,1.64,0.27,1.61,0.47,1.68,1.81,4.35
198704,-2.11,-1.54,-0.39,0.44,0.22,-1.9,3.68
198705,0.11,-0.56,0.23,0.38,-0.74,-0.3,1.99
198706,3.94,-2.21,1.04,0.48,-0.25,0.01,-1.3
198707,3.85,-1.12,0.73,0.46,2.66,-0.25,2.29
198708,3.52,-0.95,-0.95,0.47,-0.86,2.45,-2.84
198709,-2.59,0.4,0.3,0.45,0.77,-0.4,2.98
198710,-23.24,-8.05,4.23,0.6,-7.86,-0.13,-5.8
198711,-7.77,2.87,2.96,0.35,-1.17,-0.87,-0.2
198712,6.81,0.06,-4.39,0.39,5.87,5.8,2.77
198801,4.21,-0.53,4.95,0.29,-7.27,7.93,-1.61
198802,4.75,3.31,-1.69,0.46,-1.47,4.36,1.34
198803,-2.27,6.24,0.74,0.44,0.58,-0.84,1.23
198804,0.56,1.15,1.63,0.46,2.24,0.23,0.47
198805,-0.29,-2.57,2.42,0.51,0.63,0.65,-0.05
198806,4.79,2.14,-1.22,0.49,-2.93,1.87,1.87
198807,-1.25,-0.21,2.17,0.51,0.65,3.36,-1.35
198808,-3.31,-0.03,2.1,0.59,0.35,-1.93,-1.96
198809,3.3,-1.35,-0.75,0.62,0.27,-0.12,-2
198810,1.15,-2.95,1.69,0.61,1.33,-1,-0.25
198811,-2.29,-1.65,1.3,0.57,0.33,-0.67,-0.8
198812,1.49,2.02,-1.61,0.63,0.49,2.29,0.79
198901,6.1,-2.31,0.62,0.55,-0.16,0.97,2.83
198902,-2.25,2.71,0.93,0.61,0.99,1.07,0.93
198903,1.57,0.68,0.54,0.67,3.51,-0.89,0.55
198904,4.33,-0.78,-1.4,0.67,1.77,-0.65,-1.06
198905,3.35,0,-0.87,0.79,1.52,-2.74,-1.72
198906,-1.35,-1.09,2.23,0.71,0.43,2.3,-0.65
198907,7.2,-4.17,-2.79,0.7,5.39,1.45,-1.75
198908,1.44,0.48,0.6,0.74,-0.12,1.85,0.15
198909,-0.76,0.49,-1.27,0.65,3.4,1.17,-2.83
198910,-3.67,-3.32,-1.11,0.68,1.32,-4.32,-3.53
198911,1.03,-1.29,-1.09,0.69,2.6,-1.75,-1.25
198912,1.16,-2.28,0.16,0.61,2.8,-2.56,-0.82
199001,-7.85,-1.32,0.85,0.57,-3.27,1.02,3.48
199002,1.11,1.15,0.64,0.57,-0.54,0.49,1.91
199003,1.83,1.58,-2.92,0.64,1.8,0.17,-0.24
199004,-3.36,-0.32,-2.59,0.69,2.39,-1.82,-1.18
199005,8.42,-2.37,-3.83,0.68,3.03,-0.35,0.99
199006,-1.09,1.31,-1.93,0.63,2.4,-0.22,-1.48
199007,-1.9,-3.13,-0.04,0.68,6.14,-0.7,-1.91
199008,-10.15,-3.86,1.6,0.66,1.88,-3.65,1.56
199009,-6.12,-3.74,0.61,0.6,5.78,-5.98,0.37
199010,-1.92,-5.07,0,0.68,6.71,-2.68,-3.38
199011,6.35,0.04,-2.97,0.57,-5.48,5.85,-0.63
199012,2.46,0.64,-1.63,0.6,0.29,-3.01,-2.08
199101,4.69,3.89,-1.57,0.52,-6.45,-1.93,6.31
199102,7.19,4.02,-0.63,0.48,-4.61,1.93,1.13
199103,2.65,3.82,-1.3,0.44,2.87,0.52,-0.45
199104,-0.28,0.32,1.45,0.53,-2.36,1.57,-1.22
199105,3.65,0.12,-0.49,0.47,-0.11,0.08,1.37
199106,-4.94,0.26,1.07,0.42,0.47,2.06,-1.76
199107,4.24,-0.95,-1.32,0.49,4.22,2.14,0.71
199108,2.32,1.41,-0.78,0.46,1.57,-2.92,-0.5
199109,-1.59,1.56,-1.07,0.46,1.79,-0.76,-0.73
199110,1.29,0.9,-0.46,0.42,3.06,-1.18,2.35
199111,-4.19,-0.84,-1.88,0.39,1.14,-0.4,-2.75
199112,10.84,-2.4,-4.18,0.38,8.19,1.06,-0.9
199201,-0.59,9.19,4.7,0.34,-2.49,5.22,9.44
199202,1.09,1.34,6.47,0.28,-0.53,-2.9,5.27
199203,-2.66,-0.93,3.55,0.34,-0.29,-1.09,1.42
199204,1.07,-5.7,4.32,0.32,-2.58,-3.38,0.78
199205,0.3,0.21,1.19,0.28,0.21,-0.15,-0.5
199206,-2.34,-2.74,3.25,0.32,-0.58,0.91,1.21
199207,3.77,-0.66,-0.55,0.31,1.59,2.14,-1.38
199208,-2.38,-0.44,-1.08,0.26,-0.51,-1.56,-4.11
199209,1.19,0.44,-0.23,0.26,1.5,-1.12,0.09
199210,1.02,2.09,-1.98,0.23,2.48,-0.2,-0.9
199211,4.13,3.98,-1.42,0.23,-0.15,-1.04,0.32
199212,1.53,1.67,2.65,0.28,4.32,1.23,0.84
199301,0.93,1.89,5.95,0.23,4.84,-0.45,5.55
199302,0.12,-3.47,6.44,0.22,3.14,-1.49,4.21
199303,2.3,0.08,1.19,0.25,3.73,-0.95,1.88
199304,-3.05,-0.86,2.48,0.24,0.38,-1.71,2.37
199305,2.89,1.93,-3.5,0.22,0.22,1.49,1.32
199306,0.31,0.16,2.72,0.25,4.55,2.24,1.72
199307,-0.34,0.92,2.82,0.24,3.19,-2.66,0.94
199308,3.71,0.11,0.14,0.25,2.65,1.28,1.11
199309,-0.12,2.94,-0.35,0.26,3.37,0.69,0.62
199310,1.41,1.89,-2.78,0.22,-2.72,1.9,1.67
199311,-1.89,-1.18,-0.66,0.25,-4.73,-1.39,1.53
199312,1.65,1.38,0.27,0.23,2.36,1.07,0.4
199401,2.87,0.08,1.28,0.25,0,1.69,3.83
199402,-2.55,2.67,-1.56,0.21,-0.3,0.36,-0.12
199403,-4.78,-1.09,1.55,0.27,-1.27,0.09,0.62
199404,0.68,-1,1.66,0.27,0.39,-0.38,0.19
199405,0.58,-2.53,0.7,0.31,-2.19,0.06,1.65
199406,-3.03,-0.48,1.67,0.31,-0.87,0.14,0.47
199407,2.82,-1.79,0.57,0.28,0.1,1.49,0.4
199408,4.01,1.38,-2.5,0.37,1.55,1.44,2.27
199409,-2.31,2.76,-1.84,0.37,1.31,-0.77,1.67
199410,1.34,-2.31,-1.63,0.38,1.49,-0.22,0.67
199411,-4.04,0.13,-0.73,0.37,-0.18,-2.01,-1.61
199412,0.86,-0.04,-0.09,0.44,3.48,0.81,0.18
199501,1.8,-3.02,2.51,0.42,-1.81,4,-0.56
199502,3.63,-0.54,1.09,0.4,-0.39,2.39,-1.02
199503,2.19,-0.53,-2.08,0.46,0.43,-0.04,1.23
199504,2.11,-0.22,1.7,0.44,1.79,-0.52,0.37
199505,2.9,-2.18,2.27,0.54,-0.42,-0.46,-1.14
199506,2.72,3.03,-2.54,0.47,2.93,1.23,-1.76
199507,3.72,2.08,-1.59,0.45,2.57,-2.16,-0.85
199508,0.55,1.76,2.81,0.47,0.16,1.28,-1.13
199509,3.35,-1.9,-0.05,0.43,2.91,-0.89,-0.97
199510,-1.52,-4.07,-0.51,0.47,4.16,-1.02,0.61
199511,3.96,-1.07,0.58,0.42,-0.68,0.6,0.75
199512,1.03,0.73,0.18,0.49,2.52,-0.98,3.99
199601,2.26,-2.56,0.4,0.43,0.54,1,1.27
199602,1.33,1.76,-1.07,0.39,0.59,2.17,-1.29
199603,0.73,1.64,0.36,0.39,-1.84,-0.11,-0.25
199604,2.06,4.7,-4.05,0.46,-0.88,0.69,-0.72
199605,2.36,3.22,-0.89,0.42,1.54,-1.07,1.24
199606,-1.14,-3.64,2.38,0.4,0.98,-0.18,-0.15
199607,-5.97,-3.8,5.14,0.45,-0.17,-2.42,-0.04
199608,2.77,2.58,-0.74,0.41,0.01,2.55,-1.59
199609,5.01,-1.39,-2.7,0.44,2.7,0.54,-2.13
199610,0.86,-3.76,4.94,0.42,3.79,-1.12,0.09
199611,6.25,-3.82,1.39,0.41,-2.37,0.22,-2.46
199612,-1.7,3.26,1.32,0.46,0.63,0.64,-0.58
199701,4.98,-1.82,-1.46,0.45,1.95,2.62,-1.55
199702,-0.49,-2.56,5.69,0.39,-2.13,1.25,0.89
199703,-5.02,-0.43,3.4,0.43,0.9,0.88,2.09
199704,4.04,-5.71,0.07,0.43,4.86,2.43,-3.86
199705,6.74,4.75,-4.12,0.49,-5.17,2.87,-2.15
199706,4.1,1.21,1.59,0.37,2.6,0.73,0.19
199707,7.33,-2.77,0.29,0.43,3.79,3.84,-1.1
199708,-4.15,7.63,1.2,0.41,-2.56,-0.15,3.2
199709,5.35,2.49,0.38,0.44,1.47,1.7,-0.42
199710,-3.8,-0.55,2.25,0.42,-0.57,-0.96,0.43
199711,2.98,-5.1,1.19,0.39,0.33,-2.01,1.13
199712,1.32,-2.01,3.86,0.48,3.98,-2.91,0.1
199801,0.15,-1.36,-1.59,0.43,0.14,5.02,-0.91
199802,7.04,0.2,-0.85,0.39,-1.12,1.92,-1.29
199803,4.76,-0.63,1.41,0.39,2.15,1.84,2.22
199804,0.73,-0.05,0.9,0.43,0.74,1.7,-0.87
199805,-3.07,-2.92,3.4,0.4,1.82,0.75,1.42
199806,3.18,-3.67,-1.96,0.41,7.28,-1.44,-0.76
199807,-2.46,-5.27,-1.76,0.4,3.74,-2.07,0.34
199808,-16.08,-5.17,3.6,0.43,1.84,-2.66,4.63
199809,6.15,-0.77,-3.37,0.46,-0.81,2.75,0.33
199810,7.13,-3.42,-2.29,0.32,-5.37,9.85,-4.25
199811,6.1,0.71,-3.23,0.31,1.2,1.32,-0.44
199812,6.16,-1.57,-4.18,0.38,8.91,-1.63,-0.97
199901,3.5,-0.73,-4.62,0.35,3.03,-2.32,1.04
199902,-4.08,-5.2,1.88,0.35,-0.1,2.46,0.38
199903,3.45,-4.23,-2.77,0.43,-1.27,0.21,-1.21
199904,4.33,4.53,2.41,0.37,-9.04,2.37,5.46
199905,-2.46,3.74,2.3,0.34,-5.19,1.21,3.41
199906,4.77,2.3,-3.26,0.4,5.06,1.7,0.54
199907,-3.49,2.57,-0.42,0.38,1.66,1.5,1.81
199908,-1.38,-1.72,-1.84,0.39,3.12,-3.41,-1.82
199909,-2.79,2.62,-3.48,0.39,6.48,-0.61,0.39
199910,6.12,-6.89,-3.37,0.39,5.5,-1.48,-2.86
199911,3.37,5.8,-6.16,0.36,5.64,0.43,4.84
199912,7.72,5.34,-8.32,0.44,13.22,-14.01,5.5
200001,-4.74,4.45,-1.89,0.41,1.92,2.61,1.67
200002,2.45,18.38,-9.81,0.43,18.2,-13.47,7.33
